timestamp,u1_add,u1_del,u1_text,u2_add,u2_del,u2_text,u3_add,u3_del,u3_text,u4_add,u4_del,u4_text
2019-08-15 11:04:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:05:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:05:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:06:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:06:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:07:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:07:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:08:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:08:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:09:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:09:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:10:00,0,0,,0,0,,0,0,,0,0,
